aX,aY,aZ,gX,gY,gZ
-16.47,-2.53,-19.68,0.27,-5.01,0.42
-15.96,-1.65,-23.53,0.13,-4.35,0.23
-14.71,-0.73,-26.45,-0.03,-3.60,0.21
-13.44,-0.34,-27.83,-0.19,-2.78,0.25
-11.96,0.13,-27.93,-0.17,-2.09,0.35
-11.14,-1.41,-28.75,-0.09,-1.56,0.43
-10.49,-2.28,-29.51,-0.01,-1.02,0.31
-10.51,-2.07,-30.46,0.18,-0.47,0.09
-10.61,-1.48,-30.34,0.33,0.24,-0.13
-10.66,-0.49,-28.56,0.32,1.09,-0.25
-10.26,0.30,-25.49,0.22,1.90,-0.26
-9.89,0.71,-21.72,0.13,2.55,-0.20
-9.24,0.65,-18.48,0.06,2.96,-0.14
-8.80,0.41,-15.46,0.20,3.23,-0.15
-8.61,-0.01,-12.97,0.44,3.33,-0.25
-8.64,-0.43,-10.76,0.59,3.38,-0.37
-8.71,-0.69,-9.40,0.65,3.44,-0.47
-8.62,-0.90,-8.16,0.63,3.56,-0.53
-8.53,-0.58,-7.04,0.54,3.74,-0.53
-8.50,0.20,-5.71,0.49,3.93,-0.51
-8.07,0.53,-4.22,0.43,4.07,-0.42
-7.96,0.53,-2.95,0.35,4.21,-0.29
-7.70,0.00,-1.32,0.42,4.32,-0.25
-7.26,-0.43,0.98,0.47,4.33,-0.28
-6.65,0.09,2.99,0.46,4.19,-0.28
-6.36,-0.15,4.04,0.50,4.03,-0.21
-6.01,-1.07,5.06,0.48,3.88,-0.20
-5.95,-1.47,5.94,0.50,3.76,-0.26
-5.72,-1.84,7.38,0.53,3.68,-0.35
-5.39,-1.83,8.58,0.50,3.60,-0.45
-4.86,-1.22,10.24,0.45,3.57,-0.50
-3.72,-0.68,13.01,0.38,3.47,-0.52
-2.18,0.11,15.45,0.20,3.27,-0.48
-1.08,0.82,17.34,0.10,3.01,-0.39
-0.32,0.92,18.85,0.03,2.71,-0.31
0.31,0.80,20.34,-0.04,2.43,-0.25
0.74,0.85,22.13,-0.09,2.13,-0.20
1.16,0.87,23.94,-0.20,1.77,-0.12
1.37,0.82,24.70,-0.39,1.29,-0.02
1.17,0.13,24.16,-0.44,0.80,0.01
1.05,-0.78,23.83,-0.49,0.36,-0.07
0.97,-0.60,23.56,-0.59,-0.12,-0.21
1.23,0.14,22.53,-0.60,-0.60,-0.37
1.29,0.96,21.51,-0.56,-1.01,-0.47
1.15,1.23,20.15,-0.60,-1.31,-0.48
0.92,1.54,19.46,-0.74,-1.53,-0.46
1.73,3.39,19.46,-0.86,-1.80,-0.37
1.42,3.99,18.44,-0.81,-2.26,-0.14
1.31,3.55,16.59,-0.66,-2.77,0.01
0.34,2.44,13.81,-0.41,-3.21,0.08
-0.70,1.04,11.70,-0.23,-3.45,0.08
-1.74,0.50,10.07,-0.28,-3.63,0.11
-3.17,1.02,7.60,-0.32,-3.85,0.16
-3.26,1.87,4.95,-0.22,-4.02,0.27
-3.23,1.48,2.28,0.01,-4.16,0.44
-0.75,-0.43,0.25,-0.14,-0.13,0.02
-0.61,-0.10,-0.36,-0.11,-0.26,0.05
-0.86,-0.42,-1.29,-0.09,-0.33,0.08
-0.88,-0.85,-2.11,-0.10,-0.35,0.08
-0.86,-1.37,-3.32,-0.14,-0.34,0.04
-0.71,-1.90,-4.55,-0.18,-0.28,-0.06
-0.72,-2.21,-6.11,-0.25,-0.25,-0.13
-0.82,-1.76,-7.67,-0.36,-0.22,-0.19
-1.34,-1.09,-9.77,-0.42,-0.22,-0.18
-1.73,-0.68,-12.07,-0.37,-0.11,-0.16
-2.08,-0.69,-13.88,-0.13,0.10,-0.16
-1.62,-1.55,-14.74,0.16,0.37,-0.20
-1.20,-2.14,-14.93,0.33,0.57,-0.23
-1.73,-3.26,-15.39,0.36,0.74,-0.22
-2.28,-4.08,-15.87,0.14,0.96,-0.24
-3.15,-3.58,-16.75,-0.16,1.35,-0.29
-3.77,-2.43,-17.15,-0.21,1.82,-0.36
-4.62,-1.87,-16.40,-0.08,2.31,-0.40
-4.57,-1.66,-14.54,-0.03,2.74,-0.45
-4.17,-0.62,-12.46,-0.06,3.07,-0.41
-4.45,0.00,-10.60,0.05,3.23,-0.31
-4.40,1.03,-8.62,0.19,3.27,-0.20
-5.05,0.96,-6.86,0.34,3.34,-0.04
-5.50,0.57,-4.71,0.34,3.52,0.07
-6.02,0.10,-2.24,0.36,3.75,0.11
-6.57,-0.33,0.79,0.41,3.91,0.03
-6.49,0.34,3.55,0.53,3.92,-0.13
