aX,aY,aZ,gX,gY,gZ
-5.66,-8.20,4.01,-0.19,2.51,1.40
-5.07,-8.45,6.13,-0.18,2.74,1.05
-3.92,-8.18,8.77,-0.25,2.91,0.77
-3.21,-7.80,10.90,-0.29,2.98,0.52
-2.40,-8.07,12.31,-0.32,2.98,0.27
-1.64,-7.86,13.90,-0.39,3.00,0.08
-1.58,-7.27,15.59,-0.36,2.82,-0.25
-1.20,-6.51,17.43,-0.34,2.75,-0.53
-0.71,-5.50,19.17,-0.31,2.68,-0.88
-0.12,-4.15,20.24,-0.22,2.53,-1.18
-0.09,-4.02,21.16,-0.17,2.33,-1.44
-0.34,-3.33,21.98,-0.25,2.09,-1.58
-0.39,-1.25,22.58,-0.31,1.77,-1.74
-1.00,0.78,23.66,-0.36,1.60,-1.84
-1.10,2.70,24.57,-0.20,1.42,-2.09
-1.49,4.20,25.24,-0.02,1.23,-2.30
-2.03,5.05,25.23,0.12,1.02,-2.40
-2.29,5.69,25.50,0.12,0.82,-2.47
-2.00,7.01,25.92,0.07,0.58,-2.50
-2.18,8.40,26.19,0.03,0.32,-2.51
-2.33,9.68,26.32,0.03,0.05,-2.52
-3.25,11.25,25.87,0.12,-0.20,-2.53
-3.46,11.64,25.55,0.24,-0.44,-2.56
-3.56,12.41,25.00,0.26,-0.67,-2.56
-4.22,13.34,24.39,0.33,-0.92,-2.52
-4.25,14.63,23.40,0.41,-1.21,-2.52
-5.19,16.38,21.72,0.47,-1.51,-2.38
-5.95,17.64,20.10,0.47,-1.72,-2.18
-6.58,18.79,18.69,0.44,-1.92,-1.92
-6.38,18.88,16.42,0.47,-2.05,-1.76
-5.63,19.89,14.45,0.53,-2.17,-1.66
-6.29,21.03,11.73,0.70,-2.37,-1.56
-8.59,22.23,8.13,0.81,-2.52,-1.30
-11.05,22.52,4.58,0.82,-2.47,-0.93
-12.39,21.18,2.33,0.69,-2.25,-0.52
-11.80,18.63,1.01,0.38,-1.92,-0.13
-9.91,16.71,0.18,-0.08,-1.55,0.29
-8.31,16.05,0.18,-0.22,-1.26,0.42
2.54,12.79,9.14,-0.16,-0.58,0.18
2.09,12.97,7.99,-0.11,-0.68,0.26
1.48,12.89,6.63,-0.05,-0.70,0.32
0.93,13.05,5.22,0.07,-0.67,0.33
0.07,13.16,3.86,0.29,-0.60,0.25
-0.72,12.72,2.54,0.43,-0.51,0.25
-1.71,11.69,0.88,0.40,-0.36,0.36
-2.57,10.43,-0.32,0.22,-0.11,0.55
-2.71,9.41,-0.64,0.07,0.15,0.73
-2.65,7.71,-0.77,0.07,0.35,0.78
-2.83,6.37,-0.81,0.13,0.55,0.70
-3.25,4.80,-1.12,0.23,0.76,0.56
-3.43,3.90,-1.08,0.29,1.01,0.40
-3.54,2.92,-0.20,0.33,1.29,0.29
-3.10,1.38,1.14,0.35,1.53,0.20
-3.00,-1.40,2.97,0.23,1.73,0.11
-2.36,-3.10,5.25,-0.11,1.88,-0.04
-1.68,-2.65,7.39,-0.32,1.90,-0.26
-1.61,-2.09,9.03,-0.34,1.87,-0.46
-2.19,-2.41,10.06,-0.35,1.89,-0.66
-2.32,-3.02,11.67,-0.44,1.94,-0.90
-2.45,-2.98,12.85,-0.59,1.95,-1.07
-2.94,-2.36,14.03,-0.77,1.99,-1.23
-2.92,-1.25,15.42,-0.84,1.98,-1.36
-2.85,-0.28,17.12,-0.92,1.96,-1.49
-2.27,0.63,18.99,-0.96,1.86,-1.57
-2.19,1.00,20.98,-0.91,1.68,-1.74
-2.18,2.12,21.57,-0.73,1.40,-2.00
-2.98,2.63,21.33,-0.57,1.16,-2.16
-3.29,4.17,21.43,-0.56,1.01,-2.25
-3.41,5.35,22.00,-0.58,0.88,-2.26
-3.79,6.88,22.18,-0.58,0.72,-2.35
-4.42,9.22,21.83,-0.42,0.62,-2.44
-4.69,10.58,22.71,-0.10,0.53,-2.54
-4.14,12.72,24.00,0.21,0.28,-2.64
-4.11,13.90,24.31,0.32,-0.02,-2.53
-4.05,13.94,25.17,0.08,-0.37,-2.33
-4.35,16.66,24.34,-0.04,-0.74,-2.15
-5.14,17.50,23.70,0.18,-0.98,-2.00
-5.43,17.51,23.04,0.38,-1.21,-1.93
